antibody_id,virus_id,neut
2413a,0815_V3_C3,0
VRC26.23,ZM214_15,0
HJ16,3988_25,0
3BNC117,VRC607_14_14_H7,0
VRC26.03,0330_V4_C3,0
PGDM1400,B028_ENV06,0
VRC01-0fH/0fL,JRFL,0
2219,H029_12,0
916B2,TRJO4551_58,0
PCDN-16A,QH0692_42,0
1393A,AC10_29,0
916B2,QB099_391M_B1,0
A12V163-a.02,ZA012_29,0
M1214_N1.2,CAP210_E8,0
M1214_N1.2,T251_18,0
447-52D,6631_V3_C10,0
PC39-23A,Q769_D22,0
A12V163-a.02,DU151_02,0
DF1W-a.01,CNE20,0
PCT64-35B,JRFL,0
PC39-23D,C3347_C11,0
PGT136,VLGC_B3,0
N49P7.2,T278_50,0
DH851.1,703010054_2A2,0
VRC42.I3,C4118_9,0
PGT152,R2184_C4,0
697-D,6535_3,0
PCDN-33A,BJOX010000_06_2,0
PG9,6244_13_B5_4567,0
8ANC195,928_28,0
IOMAmin5,CAP45_G3,0
DF1W-a.01,CM244_EC1,0
DH1317.9,CAP210_TA5,0
Min12A21,16845_2_22,0
VRC06b,R2184_C4,0
447-52D,B021_ENV08,0
2413a,6631_V3_C10,0
PGT123,C3347_C11,0
2F5,CAP307_2_00_24_1,0
F105,235_47,0
2G12,XJ16_6,0
vFP53.02,SS1196_1,0
HJ16,CNE3,0
1C2-rabbit,T257_31,0
PC39-28E,TRJO4551_58,0
ACS117,CNE20,0
DH272,CH848_D1432_5_41,0
0PV-b.01,3718_3_11,0
HERH-a.01,928_28,0
PC39-55A,CAP45_G3,0
VRC44.02,0077_V1_C16,0
ACS202,QH209_14M_A2,0
ACS114,ZM53_12,0
VRC34.05,16055_2_3,0
F105,CNE19,0
CH04,R1166_C1,0
IOMAmin3,CAP45_G3,0
PCIN71N1a,93IN905,0
DH270.1,26191_2_48,0
LJF-0142,16055_2_3,0
M1214_N2.2,191955_A11,0
ElsE1,CAAN5342,0
2G12,B010_ENV09,0
A12V163-b.01,C1080_C3,0
PCIN71N1a,92RW020_2,0
vFP49.02,WITO4160_33,0
DH270min12,6540_V4_C1,0
2G12,20883229_C9_H6,0
10-1074,5257_V7_G10_1,0
PC39-45A,94UG103,0
IOMA-HC-DDE,T255_34,0
2G12,B016_ENV02,0
8ANC195,235_47,0
2408b,0921_V2_C14,0
6561-a.01,THRO4156,0
TRNM-f.01,ZM249_1,0
A32,AIIMS731_73105C,0
LJF-0024,00836_2_5,0
VRC26.06,CNE56,0
PCT64-35M,CNE30,0
PC39-50I,CNE8,0
CH12,ZM55_28A,0
PC39-50H,94UG103,0
179NC75,JRFL,0
VRC42.05,THRO4156,0
Ab1289,6535_3,0
40591-a.01,89_F1_2_25,0
ACS101,T250_4,0
DH270.3,DJ263_8,0
GPZ6-a.01,231965_C1,0
vFP49.02,00836_2_5,0
NC-Cow4,0260_V5_C36,0
PCT64-35E,ZM214_15,0
VRC38.01,62357_14_D3_4589,0
vFP5.01,CNE10,0
LJF-0109,KNH1144,0
ACS202,CNE15,0
CH04,620345_C1,0
830A,BX08_16,0
VRC01,6471_V1_C16,0
4E10,92RW009,0
HJ16,620345_C1,0
VRC26.31,92RW020_2,0
DH270 UCA,TRO_11,0
V033-a.01,6095_V1_C10,0
Bess1,TRJO4551_58,0
IOMA-HC-DDE,6480_V4_C25,0
KD-247,THRO4156,0
CH12,CAAN5342,0
VRC42.I3,231965_C1,0
J038,JRFL,0
10E8,VRC607_13_00_G3,0
m66,TV1_29,0
2G12,T257_31,0
vFP7.04,C4118_9,0
DH1317.9,928_28,0
PGT125,CNE58,0
PCT64-35B,DU172_17,0
M1214_N2,CNE58,0
IOMA,X1193_C1,0
VRC38.03,DU156_12,0
VRC26.06,CNE58,0
VRC42.I3,25711_2_4,0
VRC46.01,0330_V4_C3,0
5695-b.01,928_28,0
DH851.1,928_28,0
RHA10.04,89_F1_2_25,0
PCT64-24E,CE1172_H1,0
10-1074,CNE55,0
VRC03,DJ263_8,0
N6LS.C51,6471_V1_C16,0
10E8-2fH/0fL,CAAN5342,0
A12V163-b.01,001428_2_42,0
HERH-a.01,CAP256_SU,0
M1214_N2,ZM249_1,0
Z13e1,25925_2_22,0
PCDN-27D,WITO4160_33,0
PGT125,703010054_2A2,0
PGDM14,92TH021,0
T646-a.01,6480_V4_C25,0
HJ16,16936_2_21,0
GPZ6-a.01,CNE20,0
Ab1289,CNE55,0
ACS117,CNE55,0
PC39-50K,HXB2,0
2F5,94KE105,0
Min12A21,CE1086_B2,0
DH270min12,CNE4,0
ACS202,3415_V1_C1,0
2F5,93RW029,0
DH1317.8,WITO4160_33,0
830A,ZM249_1,0
2408b,T278_50,0
M1214_N2.2,CNE58,0
CH12,620345_C1,0
gVRC-H1dC38/VRC01L,T250_4,0
m66,THRO4156,0
PG16,16936_2_21,0
DH270 IA4,DU422_1,0
VRC38.05,TRO_11,0
LJF-0085,6785_V5_C14,0
DF1W-a.01,DU156_12,0
